year,n_hsplus,n_realfuelpr,n_unionmem,n_popdensity,n_pctmanuf,n_ptax,n_inctax,n_capgntax,n_salestax,n_corptax,n_wctaxfixed,n_uitax,stfip_nbr
1977,50.799999,12.2,18.700001,74.5,.25,.003537521,2.5599999,3.4000001,4,5,.75300002,264,1
1977,65.099998,14.2,15.6,21.4,.13,.0086058574,4.1700001,1.37,4,10.5,1.989,216,4
1977,49.900002,17.799999,14.1,42.400002,.25,.0073267338,7,7,3,6,1.205,303.60001,5
1977,66.300003,16.9,25.700001,143.3,.18000001,.011829033,11,7.1500001,4.75,9,2.1081469,294,6
1977,70.599998,15,14.9,26,.14,.0087542888,3.9000001,1.28,3,5,.91900003,216,8
1977,63.200001,21.299999,24.1,637.5,.30000001,.017053775,0,3.5,7,10,1.025,420,9
1977,61.599998,18.9,22.4,304.29999,.34999999,.0077671851,19.799999,9.8999996,0,7.9499998,1.051631,297,10
1977,59.799999,20.299999,12.7,164.60001,.11,.0089152716,0,0,4,5,2.523,270,12
1977,47.700001,16,11.8,90,.23999999,.0094822124,6,3,3,6,.97299999,282,13
1977,66.199997,14.8,17.5,10.7,.17,.0092960401,7.5,3.75,3,6.5,1.373,528,16
1977,61.200001,14.5,30.1,205.2,.25999999,.015727146,2.5,2.5,4,4,1.513,280,17
1977,58,14.6,29.700001,150.7,.36000001,.010275626,2,1,4,5.75,.449,198,18
1977,64.300003,12.2,20.9,52.200001,.25,.012954861,6.9499998,2.3,3,10,.81999999,426.29999,19
1977,65.900002,13.6,18.5,28.299999,.19,.014023314,4.71,1.55,3,4.5,1.015,216,20
1977,47.700001,15.2,22.700001,90,.30000001,.0072883591,3.0899999,1.01,5,5.8000002,1.296,336,21
1977,51.900002,10.7,15,92.199997,.16,.0034846079,1.88,.94,3,6,1.71,180,22
1977,61.700001,20,19,35.799999,.23,.013988075,10,5,5,7,1.138,318,23
1977,60.599998,16.799999,22.6,429.10001,.16,.013296917,5,2.5,4.5,7,1.4299999,216,24
1977,63.900002,17.4,23.4,732.90002,.25,.027238345,5.3800001,10.75,5,9.4961996,1.278,306,25
1977,61.299999,14.5,37.700001,161.2,.38999999,.020411011,4.5999999,2.3,4,0,1.627,396,26
1977,65.699997,15.4,28.200001,50,.22,.010531241,8.1099997,2.72,4,12,1.538,622.5,27
1977,49.200001,15.6,12.9,52.400002,.23999999,.0062553668,3.0799999,3.0799999,5,4,.89399999,162,28
1977,57.299999,16.700001,22.200001,70.300003,.25,.010771012,2.9100001,.94999999,3.0625,5,.86299998,211.2,29
1977,66.900002,13.6,25.5,5.3000002,.1,.013424301,6.4400001,2.1300001,0,6.75,1.678,248,30
1977,66,17.700001,18.299999,20.200001,.14,.020569226,11.19,5.5900002,2.75,4.2624998,.73299998,222,31
1977,67.800003,16.200001,28.200001,6.1999998,.050000001,.0074136332,0,0,3,0,1.393445,325.5,32
1977,65,14.7,17.1,97.199997,.28,.021789672,0,0,0,7.5,1.117,240,33
1977,60.299999,21.700001,31.9,989.70001,.25999999,.024924068,2.5,2.5,5,7.5,1.223,508.39999,34
1977,61.900002,18.5,13.5,10.1,.059999999,.0069564539,8.2600002,4.1300001,4,5,1.235,357,35
1977,58.400002,16.200001,34.599998,378,.2,.027531249,18.75,13.13,4,10,1.318,312,36
1977,46.200001,17.799999,7.5999999,116.4,.33000001,.0088569261,7,7,3,6,.486,282,37
1977,59.700001,18.799999,17.299999,9.3999996,.059999999,.015190807,3.23,2.51,3.5,6,.054361999,462,38
1977,60.599998,13.6,31.1,263,.34999999,.011934218,3.3299999,1.66,4,8,1.481488,288,39
1977,59.299999,14,13.7,41.700001,.15000001,.0080065997,6,3,2,4,1.425,162,40
1977,67.900002,15,31.1,25.4,.25,.014495496,10,5,0,7,2.694,440,41
1977,60.299999,14.2,32.099998,265.10001,.28999999,.016849473,2,2,6,10,1.310581,264,42
1977,54.900002,20.4,25.1,914,.28999999,.01910351,8.6800003,5.7600002,5.5,8,1.37,430,44
1977,48.299999,16.1,5.6999998,99.300003,.31,.0065395031,7,3.5,4,6,.68400002,246,45
1977,61,16.9,12.6,9.1000004,.079999998,.020691119,0,0,4,0,.61900002,162,46
1977,50.5,16.1,18.299999,106.8,.28,.0085572768,0,0,4,6,.81999999,240,47
1977,56.599998,13.6,12,50.400002,.18000001,.013483683,0,0,4,0,1.806,240,48
1977,71.900002,12.8,17.299999,16,.14,.0068252319,4.0300002,1.3200001,4,5,.76700002,348,49
1977,63.799999,17.299999,16.6,53.200001,.22,.019654917,14.88,7.4400001,3,7.5,.73799998,366,50
1977,59.700001,20,14.3,131.5,.2,.0089572202,5.75,2.8800001,3,6,.722,162,51
1977,69.699997,13.1,31.700001,56.700001,.19,.010659881,0,0,4.5,0,1.207001,324,53
1977,50.299999,15.1,32,79.099998,.20999999,.0048140008,8.7600002,4.3800001,3,6,.82999998,264,54
1977,62.5,13,32.599998,84.900002,.33000001,.019719476,10.23,10.23,4,7.9000001,.64999998,342,55
1977,70,12.8,15.9,4.1999998,.050000001,.0049003158,0,0,3,0,.321392,215.39999,56
1978,53.599998,7.5999999,21.6,75.5,.25,.0036057541,2.5599999,3.46,4,5,.92699999,264,1
1978,68.699997,9.8999996,14.7,22.200001,.13,.0082401261,4.1700001,1.3200001,4,10.5,2.1889999,207,4
1978,52.700001,12.6,13.1,43,.25,.0073564812,7,6.77,3,6,1.2640001,303.60001,5
