
="",="(1)",="(2)",="(3)",="(4)"
="",="aginc_predict",="nfincome_predict",="percapinc_predict",="pop_predict"

="aginc_backward",="0.127",="",="",=""
="",="(1.97)",="",="",=""

="lncedc93difference",="-0.0197*",="-0.00515",="-0.00659",="-0.00127"
="",="(-2.26)",="(-1.62)",="(-1.59)",="(-0.46)"

="nfincome_backward",="",="0.448***",="",=""
="",="",="(10.16)",="",=""

="percapinc_backward",="",="",="-0.120",=""
="",="",="",="(-1.73)",=""

="pop_backward",="",="",="",="0.631***"
="",="",="",="",="(12.06)"

="_cons",="0.000584",="-0.00262",="0.00317",="-0.00518"
="",="(0.07)",="(-0.62)",="(0.72)",="(-1.79)"

="N",="1222",="1222",="1222",="1222"
="R-sq",="0.032",="0.219",="0.024",="0.394"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
