cofip_sub	cofip_nbr	gt80_avwage_lag	gt81_avwage_lag	gt82_avwage_lag	gt83_avwage_lag	gt84_avwage_lag	gt85_avwage_lag	gt86_avwage_lag	ft75_avwage_lag	sb00_avwage_lag	sb01_avwage_lag	sb02_avwage_lag	sb03_avwage_lag	sb04_avwage_lag	ne99_avwage_lag	ne02_avwage_lag	bh01_avwage_lag	bh02_avwage_lag	bh03_avwage_lag	bh04_avwage_lag	frng04_avwage_lag	frsg04_avwage_lag	PRI99_avwage_lag	PRI04_avwage_lag	CEDp87_avwage_lag	CEDp88_avwage_lag	CEDp89_avwage_lag	CEDp90_avwage_lag	CEDp91_avwage_lag	CEDc87_avwage_lag	CEDc88_avwage_lag	CEDc89_avwage_lag	CEDc90_avwage_lag	CEDc91_avwage_lag	CEDc92_avwage_lag	CEDc93_avwage_lag	CEDc94_avwage_lag	CEDc95_avwage_lag	CEDc96_avwage_lag	CEDpi88_avwage_lag	CEDpi89_avwage_lag	CEDpi90_avwage_lag	CEDpi91_avwage_lag	CEDpi92_avwage_lag	CEDpi93_avwage_lag	CEDpi94_avwage_lag	CEDpi95_avwage_lag	CEDpi96_avwage_lag	TF03_avwage_lag	TF04_avwage_lag	gt80_avwage_lead	gt81_avwage_lead	gt82_avwage_lead	gt83_avwage_lead	gt84_avwage_lead	gt85_avwage_lead	gt86_avwage_lead	ft75_avwage_lead	sb00_avwage_lead	sb01_avwage_lead	sb02_avwage_lead	sb03_avwage_lead	sb04_avwage_lead	ne99_avwage_lead	ne02_avwage_lead	bh01_avwage_lead	bh02_avwage_lead	bh03_avwage_lead	bh04_avwage_lead	frng04_avwage_lead	frsg04_avwage_lead	PRI99_avwage_lead	PRI04_avwage_lead	CEDp87_avwage_lead	CEDp88_avwage_lead	CEDp89_avwage_lead	CEDp90_avwage_lead	CEDp91_avwage_lead	CEDc87_avwage_lead	CEDc88_avwage_lead	CEDc89_avwage_lead	CEDc90_avwage_lead	CEDc91_avwage_lead	CEDc92_avwage_lead	CEDc93_avwage_lead	CEDc94_avwage_lead	CEDc95_avwage_lead	CEDc96_avwage_lead	CEDpi88_avwage_lead	CEDpi89_avwage_lead	CEDpi90_avwage_lead	CEDpi91_avwage_lead	CEDpi92_avwage_lead	CEDpi93_avwage_lead	CEDpi94_avwage_lead	CEDpi95_avwage_lead	CEDpi96_avwage_lead	TF03_avwage_lead	TF04_avwage_lead	outofsample_avwage_lead
46003	46003	0.456107201	0.435716369	0.335901786	0.337129859	0.316144626	0.264557439	0.166344456	0.286487091	0.31400033	0.321430333	0.28210365	0.188523867	0.194846137	0.18288829	0.28210365	0.321430333	0.28210365	0.188523867	0.194846137	0.194846137	0.194846137	0.18288829	0.194846137	0.155012499	0.12885501	0.151186644	0.141412719	0.205556915	0.155012499	0.12885501	0.151186644	0.141412719	0.205556915	0.212999235	0.234562078	0.224428564	0.14133767	0.142904793	0.12885501	0.151186644	0.141412719	0.205556915	0.212999235	0.234562078	0.224428564	0.14133767	0.142904793	0.188523867	0.194846137	0.264557439	0.166344456	0.155012499	0.12885501	0.151186644	0.141412719	0.205556915	0.456107201	0.15407443	0.158273957	0.247650314	0.278949044	0.237034632	0.194846137	0.247650314	0.158273957	0.247650314	0.278949044	0.237034632	0.237034632	0.237034632	0.194846137	0.237034632	0.212999235	0.234562078	0.224428564	0.14133767	0.142904793	0.212999235	0.234562078	0.224428564	0.14133767	0.142904793	0.139956745	0.20894712	0.18288829	0.31400033	0.321430333	0.234562078	0.224428564	0.14133767	0.142904793	0.139956745	0.20894712	0.18288829	0.31400033	0.321430333	0.278949044	0.237034632	0.203470119
46005	46005	0.39398968	0.392130762	0.337486836	0.332387966	0.241148148	0.157216135	0.113504602	0.346515949	0.205891147	0.187507976	0.185759369	0.198206058	0.164458467	0.184086814	0.185759369	0.187507976	0.185759369	0.198206058	0.164458467	0.164458467	0.164458467	0.184086814	0.164458467	0.117988693	0.106237122	0.135442051	0.15289752	0.171773104	0.117988693	0.106237122	0.135442051	0.15289752	0.171773104	0.198978659	0.195993578	0.211261372	0.210796265	0.197776679	0.106237122	0.135442051	0.15289752	0.171773104	0.198978659	0.195993578	0.211261372	0.210796265	0.197776679	0.198206058	0.164458467	0.157216135	0.113504602	0.117988693	0.106237122	0.135442051	0.15289752	0.171773104	0.39398968	0.167619632	0.170842023	0.169933264	0.214291731	0.177065839	0.164458467	0.169933264	0.170842023	0.169933264	0.214291731	0.177065839	0.177065839	0.177065839	0.164458467	0.177065839	0.198978659	0.195993578	0.211261372	0.210796265	0.197776679	0.198978659	0.195993578	0.211261372	0.210796265	0.197776679	0.182380175	0.169243115	0.184086814	0.205891147	0.187507976	0.195993578	0.211261372	0.210796265	0.197776679	0.182380175	0.169243115	0.184086814	0.205891147	0.187507976	0.214291731	0.177065839	0.150725257
46007	46007	0.48162057	0.500309308	0.462306324	0.433854233	0.34889619	0.238187373	0.232082373	0.39696888	0.18920637	0.241179229	0.163996666	0.196901916	0.172489941	0.151698901	0.163996666	0.241179229	0.163996666	0.196901916	0.172489941	0.172489941	0.172489941	0.151698901	0.172489941	0.115011772	0.103775803	0.177547821	0.198074241	0.159754088	0.115011772	0.103775803	0.177547821	0.198074241	0.159754088	0.293651459	0.246741998	0.249784002	0.21983656	0.186296268	0.103775803	0.177547821	0.198074241	0.159754088	0.293651459	0.246741998	0.249784002	0.21983656	0.186296268	0.196901916	0.172489941	0.238187373	0.232082373	0.115011772	0.103775803	0.177547821	0.198074241	0.159754088	0.48162057	0.130092387	0.086314591	0.15089545	0.120792148	0.094137582	0.172489941	0.15089545	0.086314591	0.15089545	0.120792148	0.094137582	0.094137582	0.094137582	0.172489941	0.094137582	0.293651459	0.246741998	0.249784002	0.21983656	0.186296268	0.293651459	0.246741998	0.249784002	0.21983656	0.186296268	0.120487284	0.170520031	0.151698901	0.18920637	0.241179229	0.246741998	0.249784002	0.21983656	0.186296268	0.120487284	0.170520031	0.151698901	0.18920637	0.241179229	0.120792148	0.094137582	0.113248237
46009	46009	0.537467359	0.503319847	0.452932759	0.409109372	0.361529322	0.273664328	0.244217576	0.365667212	0.232705357	0.238809345	0.231377347	0.20024608	0.220204908	0.19300043	0.231377347	0.238809345	0.231377347	0.20024608	0.220204908	0.220204908	0.220204908	0.19300043	0.220204908	0.245917221	0.196930948	0.149458494	0.113785841	0.137695616	0.245917221	0.196930948	0.149458494	0.113785841	0.137695616	0.15307491	0.17776873	0.211003995	0.210422145	0.2084689	0.196930948	0.149458494	0.113785841	0.137695616	0.15307491	0.17776873	0.211003995	0.210422145	0.2084689	0.20024608	0.220204908	0.273664328	0.244217576	0.245917221	0.196930948	0.149458494	0.113785841	0.137695616	0.537467359	0.190173819	0.154641285	0.128409434	0.132916897	0.113269731	0.220204908	0.128409434	0.154641285	0.128409434	0.132916897	0.113269731	0.113269731	0.113269731	0.220204908	0.113269731	0.15307491	0.17776873	0.211003995	0.210422145	0.2084689	0.15307491	0.17776873	0.211003995	0.210422145	0.2084689	0.193370604	0.209025865	0.19300043	0.232705357	0.238809345	0.17776873	0.211003995	0.210422145	0.2084689	0.193370604	0.209025865	0.19300043	0.232705357	0.238809345	0.132916897	0.113269731	0.116575807
46011	46011	0.43102358	0.435040604	0.445152496	0.421237568	0.343187713	0.276224611	0.211572524	0.32829014	0.246984391	0.247202658	0.226832414	0.19909954	0.204797883	0.192417326	0.226832414	0.247202658	0.226832414	0.19909954	0.204797883	0.204797883	0.204797883	0.192417326	0.204797883	0.192861489	0.172018962	0.154714338	0.1605155	0.20875817	0.192861489	0.172018962	0.154714338	0.1605155	0.20875817	0.217193432	0.198188101	0.21532267	0.184374427	0.138562575	0.172018962	0.154714338	0.1605155	0.20875817	0.217193432	0.198188101	0.21532267	0.184374427	0.138562575	0.19909954	0.204797883	0.276224611	0.211572524	0.192861489	0.172018962	0.154714338	0.1605155	0.20875817	0.43102358	0.165015046	0.192367632	0.246443444	0.250625715	0.181907906	0.204797883	0.246443444	0.192367632	0.246443444	0.250625715	0.181907906	0.181907906	0.181907906	0.204797883	0.181907906	0.217193432	0.198188101	0.21532267	0.184374427	0.138562575	0.217193432	0.198188101	0.21532267	0.184374427	0.138562575	0.135199228	0.177503678	0.192417326	0.246984391	0.247202658	0.198188101	0.21532267	0.184374427	0.138562575	0.135199228	0.177503678	0.192417326	0.246984391	0.247202658	0.250625715	0.181907906	0.172057277
46013	46013	0.438875264	0.462604018	0.419177847	0.360078876	0.308559977	0.238573688	0.163579375	0.351805967	0.197141424	0.227745022	0.224720217	0.217692655	0.192555239	0.180891453	0.224720217	0.227745022	0.224720217	0.217692655	0.192555239	0.192555239	0.192555239	0.180891453	0.192555239	0.180452887	0.188328996	0.166133821	0.158650721	0.166740019	0.180452887	0.188328996	0.166133821	0.158650721	0.166740019	0.168341948	0.191931396	0.179047181	0.165507057	0.150586951	0.188328996	0.166133821	0.158650721	0.166740019	0.168341948	0.191931396	0.179047181	0.165507057	0.150586951	0.217692655	0.192555239	0.238573688	0.163579375	0.180452887	0.188328996	0.166133821	0.158650721	0.166740019	0.438875264	0.187976777	0.171860996	0.175801727	0.18561145	0.186505894	0.192555239	0.175801727	0.171860996	0.175801727	0.18561145	0.186505894	0.186505894	0.186505894	0.192555239	0.186505894	0.168341948	0.191931396	0.179047181	0.165507057	0.150586951	0.168341948	0.191931396	0.179047181	0.165507057	0.150586951	0.142418327	0.130328909	0.180891453	0.197141424	0.227745022	0.191931396	0.179047181	0.165507057	0.150586951	0.142418327	0.130328909	0.180891453	0.197141424	0.227745022	0.18561145	0.186505894	0.189405271
46015	46015	0.479641718	0.465430369	0.451628722	0.363986823	0.320314065	0.210708763	0.20574545	0.299402137	0.186834185	0.184187565	0.182891993	0.187363258	0.222401008	0.18570873	0.182891993	0.184187565	0.182891993	0.187363258	0.222401008	0.222401008	0.222401008	0.18570873	0.222401008	0.134990055	0.153061492	0.153433363	0.088230256	0.108522813	0.134990055	0.153061492	0.153433363	0.088230256	0.108522813	0.144146778	0.137547126	0.135621003	0.215538194	0.172214862	0.153061492	0.153433363	0.088230256	0.108522813	0.144146778	0.137547126	0.135621003	0.215538194	0.172214862	0.187363258	0.222401008	0.210708763	0.20574545	0.134990055	0.153061492	0.153433363	0.088230256	0.108522813	0.479641718	0.169994101	0.163660278	0.180557339	0.191225573	0.156378339	0.222401008	0.180557339	0.163660278	0.180557339	0.191225573	0.156378339	0.156378339	0.156378339	0.222401008	0.156378339	0.144146778	0.137547126	0.135621003	0.215538194	0.172214862	0.144146778	0.137547126	0.135621003	0.215538194	0.172214862	0.19302287	0.199966447	0.18570873	0.186834185	0.184187565	0.137547126	0.135621003	0.215538194	0.172214862	0.19302287	0.199966447	0.18570873	0.186834185	0.184187565	0.191225573	0.156378339	0.170633752
46017	46017	0.441742561	0.468901971	0.501725858	0.333186578	0.242392708	0.299272441	0.152224234	0.436670889	0.190259656	0.186166138	0.184569759	0.242891962	0.235671991	0.196481928	0.184569759	0.186166138	0.184569759	0.242891962	0.235671991	0.235671991	0.235671991	0.196481928	0.235671991	0.060535703	0.189429388	0.216850646	0.214237409	0.26334479	0.060535703	0.189429388	0.216850646	0.214237409	0.26334479	0.305160544	0.183195574	0.132793366	0.032236017	0.043834376	0.189429388	0.216850646	0.214237409	0.26334479	0.305160544	0.183195574	0.132793366	0.032236017	0.043834376	0.242891962	0.235671991	0.299272441	0.152224234	0.060535703	0.189429388	0.216850646	0.214237409	0.26334479	0.441742561	0.191639285	0.160928197	0.121709411	0.122135103	0.143057036	0.235671991	0.121709411	0.160928197	0.121709411	0.122135103	0.143057036	0.143057036	0.143057036	0.235671991	0.143057036	0.305160544	0.183195574	0.132793366	0.032236017	0.043834376	0.305160544	0.183195574	0.132793366	0.032236017	0.043834376	0.103686373	0.120840701	0.196481928	0.190259656	0.186166138	0.183195574	0.132793366	0.032236017	0.043834376	0.103686373	0.120840701	0.196481928	0.190259656	0.186166138	0.122135103	0.143057036	0.158229225
46019	46019	0.426397622	0.425068385	0.406156145	0.332816777	0.349010794	0.232378595	0.170197094	0.38541117	0.11283309	0.105979868	0.161678502	0.133449215	0.162292931	0.024082943	0.161678502	0.105979868	0.161678502	0.133449215	0.162292931	0.162292931	0.162292931	0.024082943	0.162292931	0.14467156	0.158002868	0.138037032	0.162944684	0.195338601	0.14467156	0.158002868	0.138037032	0.162944684	0.195338601	0.224242811	0.237388633	0.266926194	0.210089048	0.161376574	0.158002868	0.138037032	0.162944684	0.195338601	0.224242811	0.237388633	0.266926194	0.210089048	0.161376574	0.133449215	0.162292931	0.232378595	0.170197094	0.14467156	0.158002868	0.138037032	0.162944684	0.195338601	0.426397622	0.127575404	0.183376387	0.19733573	0.236174293	0.204518324	0.162292931	0.19733573	0.183376387	0.19733573	0.236174293	0.204518324	0.204518324	0.204518324	0.162292931	0.204518324	0.224242811	0.237388633	0.266926194	0.210089048	0.161376574	0.224242811	0.237388633	0.266926194	0.210089048	0.161376574	0.118539955	0.098360736	0.024082943	0.11283309	0.105979868	0.237388633	0.266926194	0.210089048	0.161376574	0.118539955	0.098360736	0.024082943	0.11283309	0.105979868	0.236174293	0.204518324	0.201528987
46021	46021	0.549186492	0.484014366	0.447586961	0.318426107	0.221846586	0.032756255	0.112454856	0.283545748	0.118876379	0.107108184	0.115976033	0.072746746	0.083721086	0.155702271	0.115976033	0.107108184	0.115976033	0.072746746	0.083721086	0.083721086	0.083721086	0.155702271	0.083721086	0.074107972	0.157428648	0.183221671	0.19781025	0.16821902	0.074107972	0.157428648	0.183221671	0.19781025	0.16821902	0.275546457	0.260627213	0.2611354	0.236897481	0.244183278	0.157428648	0.183221671	0.19781025	0.16821902	0.275546457	0.260627213	0.2611354	0.236897481	0.244183278	0.072746746	0.083721086	0.032756255	0.112454856	0.074107972	0.157428648	0.183221671	0.19781025	0.16821902	0.549186492	0.117622207	0.164513126	0.17528753	0.283119391	0.238994165	0.083721086	0.17528753	0.164513126	0.17528753	0.283119391	0.238994165	0.238994165	0.238994165	0.083721086	0.238994165	0.275546457	0.260627213	0.2611354	0.236897481	0.244183278	0.275546457	0.260627213	0.2611354	0.236897481	0.244183278	0.177767235	0.194468333	0.155702271	0.118876379	0.107108184	0.260627213	0.2611354	0.236897481	0.244183278	0.177767235	0.194468333	0.155702271	0.118876379	0.107108184	0.283119391	0.238994165	0.223050902
